"File name","What the patient should say"
"case-1/intent-medicine-explanation-02.mp3","Thanks, that makes sense now."
"case-1/intent-dosing-instruction-01.mp3","Okay, I understand how to take it."
"case-1/intent-dosing-instruction-02.mp3","Got it, thank you."
"case-1/intent-courtesy-close-01.mp3","Thanks for taking the time to explain everything. Bye."
"case-1/intent-courtesy-close-02.mp3","Thanks, I feel much clearer about the plan now."
"case-1/intent-courtesy-close-03.mp3","Thank you. I’ll follow the label and call the pharmacy if I’m unsure about anything."
"case-1/intent-negative-answer-01.mp3","Okay, I won’t. What should I do instead?"
"case-1/intent-negative-answer-02.mp3","All right. Could you tell me what I should do now?"
"case-1/intent-affirmative-answer-01.mp3","Okay, thanks for confirming that."
"case-1/intent-affirmative-answer-02.mp3","Good, that’s a relief."
"case-1/intent-acknowledgement-01.mp3","Okay. Is there anything else I should know?"
"case-1/intent-acknowledgement-02.mp3","All right, I’m listening."
"case-1/topic-introduction-01.mp3","Hi, yes. That would be really helpful."
"case-1/topic-introduction-02.mp3","Okay, I’m listening."
"case-1/topic-introduction-03.mp3","Great, thanks. Go ahead."
"case-1/topic-introduction-repeat-01.mp3","Yes, I’m still with you."
"case-1/topic-confirm-identity-01.mp3","John Smith."
"case-1/topic-confirm-identity-02.mp3","It’s John Smith."
"case-1/topic-confirm-identity-repeat-01.mp3","John Smith."
"case-1/topic-confirm-age-01.mp3","My date of birth is 14 March 1965."
"case-1/topic-confirm-age-02.mp3","14 March 1965."
"case-1/topic-confirm-age-repeat-01.mp3","My date of birth is 14 March 1965."
"case-1/topic-allergies-01.mp3","I don’t have any medicine allergies that I know of."
"case-1/topic-allergies-02.mp3","No, no allergies to any medicines as far as I know."
"case-1/topic-allergies-repeat-01.mp3","I don’t have any medicine allergies that I know of."
"case-1/topic-current-medicines-01.mp3","I’m not taking any other regular medicines or supplements at the moment."
"case-1/topic-current-medicines-02.mp3","Nothing else at the moment — no other tablets or vitamins."
"case-1/topic-current-medicines-repeat-01.mp3","I’m not taking any other regular medicines or supplements at the moment."
"case-1/topic-purpose-01.mp3","Okay, that makes sense."
"case-1/topic-purpose-02.mp3","Right, so it’s for the infection. Good to know."
"case-1/topic-directions-01.mp3","One capsule three times a day. Okay."
"case-1/topic-directions-02.mp3","Got it — one capsule, three times each day."
"case-1/topic-complete-course-01.mp3","Right, I’ll finish the prescribed course."
"case-1/topic-complete-course-02.mp3","Okay, I’ll keep taking them until they’re all done, even if I feel better."
"case-1/topic-nausea-advice-01.mp3","I’ll try it with food if my stomach feels unsettled."
"case-1/topic-nausea-advice-02.mp3","Good to know I can have it with a meal if it makes me queasy."
"case-1/topic-allergic-reaction-safety-01.mp3","I’ll seek help straight away if I have a serious reaction."
"case-1/topic-allergic-reaction-safety-02.mp3","Understood — swelling or breathing trouble means I get help immediately."
"case-1/topic-teach-back-01.mp3","I’ll take one capsule three times each day and finish the prescribed course."
"case-1/topic-teach-back-repeat-01.mp3","I’ll take one capsule three times each day and finish the prescribed course."
"case-1/topic-invite-questions-01.mp3","I do have one more question before I go."
"case-1/topic-invite-questions-repeat-01.mp3","No, I think that covers everything. Thank you."
"case-2/opening-01.mp3","Hi, I’m here to pick up my warfarin. Is it ready yet?"
"case-2/concern-01.mp3","I sometimes take ibuprofen for headaches. Is that still okay?"
"case-2/patient-question-01.mp3","What signs of bleeding should make me get help?"
"case-2/no-further-questions-01.mp3","No, I think that covers everything. Thank you."
"case-2/teach-back-not-ready-01.mp3","I’m not sure I could repeat that back yet. Could you go through the instructions with me first?"
"case-2/unknown-01.mp3","I’m not sure I followed that. Could you say it another way?"
"case-2/unknown-02.mp3","I’m not sure how that relates to this medicine. Could you explain it another way?"
"case-2/unknown-03.mp3","Sorry, I’m not quite following. Could you say that differently?"
"case-2/unknown-04.mp3","I didn’t quite understand that. Could you explain it more simply?"
"case-2/unknown-05.mp3","I’m not sure what you mean. Could you give me a little more detail?"
"case-2/intent-permission-to-ask-01.mp3","Of course. What would you like to ask me?"
"case-2/intent-permission-to-ask-02.mp3","Yes, that’s fine. Go ahead."
"case-2/intent-permission-to-ask-03.mp3","Sure, I’m happy to answer a few questions."
"case-2/intent-previous-use-01.mp3","Yes, I’ve been taking warfarin for some time."
"case-2/intent-previous-use-02.mp3","Yes. This isn’t my first warfarin supply."
"case-2/intent-medical-conditions-01.mp3","I have the condition the anticoagulation clinic manages, and they monitor my warfarin."
"case-2/intent-medical-conditions-02.mp3","The anticoagulation clinic already has all of that in my records."
"case-2/intent-current-symptoms-01.mp3","I haven’t noticed unusual bleeding, black stools or a recent head injury."
"case-2/intent-current-symptoms-02.mp3","No new bleeding or bruising symptoms today."
"case-2/intent-side-effect-explanation-01.mp3","Okay, what should I do if that happens?"
"case-2/intent-side-effect-explanation-02.mp3","Thanks for explaining that. I’ll keep an eye out for it."
"case-2/intent-side-effect-explanation-03.mp3","All right. Is there anything that would mean I need urgent help?"
"case-2/intent-medicine-explanation-01.mp3","Okay, that helps me understand what it’s for."
"case-2/intent-medicine-explanation-02.mp3","Thanks, that makes sense now."
"case-2/intent-dosing-instruction-01.mp3","Okay, I understand how to take it."
"case-2/intent-dosing-instruction-02.mp3","Got it, thank you."
"case-2/intent-courtesy-close-01.mp3","Thanks for taking the time to explain everything. Bye."
"case-2/intent-courtesy-close-02.mp3","Thanks, I feel much clearer about the plan now."
"case-2/intent-courtesy-close-03.mp3","Thank you. I’ll follow the label and call the pharmacy if I’m unsure about anything."
"case-2/intent-negative-answer-01.mp3","Okay, I won’t. What should I do instead?"
"case-2/intent-negative-answer-02.mp3","All right. Could you tell me what I should do now?"
"case-2/intent-affirmative-answer-01.mp3","Okay, thanks for confirming that."
"case-2/intent-affirmative-answer-02.mp3","Good, that’s a relief."
"case-2/intent-acknowledgement-01.mp3","Okay. Is there anything else I should know?"
"case-2/intent-acknowledgement-02.mp3","All right, I’m listening."
"case-2/topic-introduction-01.mp3","Hi, yes. That would be really helpful."
"case-2/topic-introduction-02.mp3","Okay, I’m listening."
"case-2/topic-introduction-03.mp3","Great, thanks. Go ahead."
"case-2/topic-introduction-repeat-01.mp3","Yes, I’m still with you."
"case-2/topic-confirm-identity-01.mp3","Margaret Jones. Yes, the warfarin is for me."
"case-2/topic-confirm-identity-02.mp3","Margaret Jones — it’s my own prescription."
"case-2/topic-confirm-identity-repeat-01.mp3","Margaret Jones. Yes, the warfarin is for me."
"case-2/topic-confirm-age-01.mp3","My date of birth is 22 June 1948."
"case-2/topic-confirm-age-02.mp3","22 June 1948."
"case-2/topic-confirm-age-repeat-01.mp3","My date of birth is 22 June 1948."
"case-2/topic-allergies-01.mp3","No, I don’t have any medicine allergies that I know of."
"case-2/topic-allergies-02.mp3","None that I’ve ever been told about."
"case-2/topic-allergies-repeat-01.mp3","No, I don’t have any medicine allergies that I know of."
"case-2/topic-current-medicines-01.mp3","Warfarin is my main regular medicine. I sometimes use pain relievers for headaches."
"case-2/topic-current-medicines-02.mp3","Just the warfarin regularly, and the odd pain reliever when I get a headache."
"case-2/topic-current-medicines-repeat-01.mp3","Warfarin is my main regular medicine. I sometimes use pain relievers for headaches."
"case-2/topic-dose-plan-01.mp3","I’ve got the clinic’s current dose sheet, and I’ll follow that."
"case-2/topic-dose-plan-02.mp3","Yes, I keep the clinic’s dosing sheet on the fridge and stick to it."
"case-2/topic-inr-monitoring-01.mp3","My next INR test is booked. I’ll make sure I attend."
"case-2/topic-inr-monitoring-02.mp3","I never miss the blood tests — the clinic reminds me anyway."
"case-2/topic-interactions-01.mp3","I’ll check before using ibuprofen or starting anything new."
"case-2/topic-interactions-02.mp3","So no ibuprofen without asking first — I’ll remember that."
"case-2/topic-bleeding-safety-01.mp3","I’ll seek help if I have serious or unusual bleeding."
"case-2/topic-bleeding-safety-02.mp3","Right. If I have black stools or bleeding that won’t stop, I need urgent medical help."
"case-2/topic-teach-back-01.mp3","I’ll follow my current dose plan, attend my INR tests and check before taking other medicines."
"case-2/topic-teach-back-repeat-01.mp3","I’ll follow my current dose plan, attend my INR tests and check before taking other medicines."
"case-2/topic-invite-questions-01.mp3","I do have one more question before I go."
"case-2/topic-invite-questions-repeat-01.mp3","No, I think that covers everything. Thank you."
"case-3/opening-01.mp3","Hi, I’m Liam’s mum. I was just wondering if his antibiotic mixture is ready yet?"
"case-3/concern-01.mp3","Should I use a kitchen teaspoon to measure it?"
"case-3/patient-question-01.mp3","Where should I keep the bottle once it has been mixed?"
"case-3/no-further-questions-01.mp3","No, I think that covers everything. Thank you."
"case-3/teach-back-not-ready-01.mp3","I’m not sure I could repeat that back yet. Could you go through the instructions with me first?"
"case-3/unknown-01.mp3","Sorry, could you explain that in simpler terms for me?"
"case-3/unknown-02.mp3","I’m not sure how that relates to this medicine. Could you explain it another way?"
"case-3/unknown-03.mp3","Sorry, I’m not quite following. Could you say that differently?"
"case-3/unknown-04.mp3","I didn’t quite understand that. Could you explain it more simply?"
"case-3/unknown-05.mp3","I’m not sure what you mean. Could you give me a little more detail?"
"case-3/intent-diagnosis-question-01.mp3","The doctor said it is for the infection they examined Liam for, but I don’t know the clinical name."
"case-3/intent-diagnosis-question-02.mp3","I was told it is for Liam’s current infection. I’m not sure of the exact diagnosis."
"case-3/intent-permission-to-ask-01.mp3","Of course. What would you like to ask me?"
"case-3/intent-permission-to-ask-02.mp3","Yes, that’s fine. Go ahead."
"case-3/intent-permission-to-ask-03.mp3","Sure, I’m happy to answer a few questions."
"case-3/intent-previous-use-01.mp3","Liam has had an antibiotic before, but this is his first supply for this infection."
"case-3/intent-previous-use-02.mp3","He’s had antibiotics before, but not for this infection."
"case-3/intent-medical-conditions-01.mp3","Liam doesn’t have any other medical conditions that I know of."
"case-3/intent-medical-conditions-02.mp3","No other health conditions have been diagnosed."
"case-3/intent-current-symptoms-01.mp3","He has the symptoms the doctor assessed, but no breathing trouble or severe reaction."
"case-3/intent-current-symptoms-02.mp3","Nothing new since the doctor saw him, and he is breathing normally."
"case-3/intent-side-effect-explanation-01.mp3","Okay, what should I do if that happens?"
"case-3/intent-side-effect-explanation-02.mp3","Thanks for explaining that. I’ll keep an eye out for it."
"case-3/intent-side-effect-explanation-03.mp3","All right. Is there anything that would mean I need urgent help?"
"case-3/intent-medicine-explanation-01.mp3","Okay, that helps me understand what it’s for."
"case-3/intent-medicine-explanation-02.mp3","Thanks, that makes sense now."
"case-3/intent-dosing-instruction-01.mp3","Okay, I understand how to take it."
"case-3/intent-dosing-instruction-02.mp3","Got it, thank you."
"case-3/intent-courtesy-close-01.mp3","Thanks for taking the time to explain everything. Bye."
"case-3/intent-courtesy-close-02.mp3","Thanks, I feel much clearer about the plan now."
"case-3/intent-courtesy-close-03.mp3","Thank you. I’ll follow the label and call the pharmacy if I’m unsure about anything."
"case-3/intent-negative-answer-01.mp3","Okay, I won’t. What should I do instead?"
"case-3/intent-negative-answer-02.mp3","All right. Could you tell me what I should do now?"
"case-3/intent-affirmative-answer-01.mp3","Okay, thanks for confirming that."
"case-3/intent-affirmative-answer-02.mp3","Good, that’s a relief."
"case-3/intent-acknowledgement-01.mp3","Okay. Is there anything else I should know?"
"case-3/intent-acknowledgement-02.mp3","All right, I’m listening."
"case-3/topic-introduction-01.mp3","Hi, yes. That would be really helpful."
"case-3/topic-introduction-02.mp3","Okay, I’m listening."
"case-3/topic-introduction-03.mp3","Great, thanks. Go ahead."
"case-3/topic-introduction-repeat-01.mp3","Yes, I’m still with you."
"case-3/topic-confirm-identity-01.mp3","It’s for my son, Liam Henderson."
"case-3/topic-confirm-identity-02.mp3","This one’s for Liam, my son."
"case-3/topic-confirm-identity-repeat-01.mp3","It’s for my son, Liam Henderson."
"case-3/topic-confirm-age-01.mp3","His date of birth is 12 May 2009."
"case-3/topic-confirm-age-02.mp3","He was born on 12 May 2009."
"case-3/topic-confirm-age-repeat-01.mp3","His date of birth is 12 May 2009."
"case-3/topic-allergies-01.mp3","Liam has no known medicine allergies."
"case-3/topic-allergies-02.mp3","No — he’s never reacted to a medicine before."
"case-3/topic-allergies-repeat-01.mp3","Liam has no known medicine allergies."
"case-3/topic-current-medicines-01.mp3","He isn’t taking any other regular medicines or supplements."
"case-3/topic-current-medicines-02.mp3","Nothing else — this will be the only medicine he’s on."
"case-3/topic-current-medicines-repeat-01.mp3","He isn’t taking any other regular medicines or supplements."
"case-3/topic-purpose-01.mp3","Okay, it’s for the infection."
"case-3/topic-purpose-02.mp3","Okay, so it should help clear up the infection."
"case-3/topic-directions-01.mp3","Ten millilitres three times a day for ten days. Got it."
"case-3/topic-directions-02.mp3","Okay — 10 mL, three times daily, for the full ten days."
"case-3/topic-liquid-handling-01.mp3","I’ll shake it and use the oral syringe for every dose."
"case-3/topic-liquid-handling-02.mp3","No kitchen spoons then — I’ll measure it properly each time."
"case-3/topic-storage-01.mp3","I’ll keep it where the bottle label says, in the fridge for this product."
"case-3/topic-storage-02.mp3","Straight into the fridge when we get home, then."
"case-3/topic-complete-course-01.mp3","I’ll complete the full course even if Liam improves."
"case-3/topic-complete-course-02.mp3","Okay, we’ll keep going for the full ten days, even if he seems better."
"case-3/topic-common-effects-01.mp3","Okay, I’ll watch for stomach upset and ask for help if it is severe or worrying."
"case-3/topic-common-effects-02.mp3","Thanks. I’ll contact the pharmacy if the side effects are troublesome."
"case-3/topic-reaction-safety-01.mp3","I’ll get help if Liam develops signs of a serious reaction."
"case-3/topic-reaction-safety-02.mp3","Okay — any swelling or breathing trouble and we go straight for help."
"case-3/topic-teach-back-01.mp3","I’ll give Liam 10 mL three times daily for 10 days, shaking and measuring it carefully."
"case-3/topic-teach-back-repeat-01.mp3","I’ll give Liam 10 mL three times daily for 10 days, shaking and measuring it carefully."
"case-3/topic-invite-questions-01.mp3","I do have one more question before I go."
"case-3/topic-invite-questions-repeat-01.mp3","No, I think that covers everything. Thank you."
"case-4/opening-01.mp3","Hi, I was just wondering if my sleeping tablets are ready yet?"
"case-4/concern-01.mp3","Why can’t I just take it home today?"
"case-4/patient-question-01.mp3","How long will it take to speak with my doctor?"
"case-4/no-further-questions-01.mp3","No, I think that covers everything. Thank you."
"case-4/teach-back-not-ready-01.mp3","I’m not sure I could repeat that back yet. Could you go through the instructions with me first?"
"case-4/unknown-01.mp3","I’m not sure what that means for me. Could you explain it plainly?"
"case-4/unknown-02.mp3","I’m not sure how that relates to this medicine. Could you explain it another way?"
"case-4/unknown-03.mp3","Sorry, I’m not quite following. Could you say that differently?"
"case-4/unknown-04.mp3","I didn’t quite understand that. Could you explain it more simply?"
"case-4/unknown-05.mp3","I’m not sure what you mean. Could you give me a little more detail?"
"case-4/intent-permission-to-ask-01.mp3","Of course. What would you like to ask me?"
"case-4/intent-permission-to-ask-02.mp3","Yes, that’s fine. Go ahead."
"case-4/intent-permission-to-ask-03.mp3","Sure, I’m happy to answer a few questions."
"case-4/intent-previous-use-01.mp3","Yes, I’ve used temazepam before when I couldn’t sleep."
"case-4/intent-previous-use-02.mp3","Yes, I’ve had sleeping tablets before."
"case-4/intent-medical-conditions-01.mp3","I have anxiety, and the pharmacy has a record of my past alcohol dependence."
"case-4/intent-medical-conditions-02.mp3","My anxiety and previous alcohol dependence are the main relevant conditions."
"case-4/intent-current-symptoms-01.mp3","I’m having trouble sleeping, but I don’t have chest pain or breathing problems now."
"case-4/intent-current-symptoms-02.mp3","The main problem is sleep. I don’t have any urgent symptoms today."
"case-4/intent-side-effect-explanation-01.mp3","Okay, what should I do if that happens?"
"case-4/intent-side-effect-explanation-02.mp3","Thanks for explaining that. I’ll keep an eye out for it."
"case-4/intent-side-effect-explanation-03.mp3","All right. Is there anything that would mean I need urgent help?"
"case-4/intent-medicine-explanation-01.mp3","Okay, that helps me understand what it’s for."
"case-4/intent-medicine-explanation-02.mp3","Thanks, that makes sense now."
"case-4/intent-dosing-instruction-01.mp3","Okay, I understand how to take it."
"case-4/intent-dosing-instruction-02.mp3","Got it, thank you."
"case-4/intent-courtesy-close-01.mp3","Thanks for taking the time to explain everything. Bye."
"case-4/intent-courtesy-close-02.mp3","Thanks, I feel much clearer about the plan now."
"case-4/intent-courtesy-close-03.mp3","Thank you. I’ll follow the label and call the pharmacy if I’m unsure about anything."
"case-4/intent-negative-answer-01.mp3","Okay, I won’t. What should I do instead?"
"case-4/intent-negative-answer-02.mp3","All right. Could you tell me what I should do now?"
"case-4/intent-affirmative-answer-01.mp3","Okay, thanks for confirming that."
"case-4/intent-affirmative-answer-02.mp3","Good, that’s a relief."
"case-4/intent-acknowledgement-01.mp3","Okay. Is there anything else I should know?"
"case-4/intent-acknowledgement-02.mp3","All right, I’m listening."
"case-4/topic-introduction-01.mp3","Hi, yes. That would be really helpful."
"case-4/topic-introduction-02.mp3","Okay, I’m listening."
"case-4/topic-introduction-03.mp3","Great, thanks. Go ahead."
"case-4/topic-introduction-repeat-01.mp3","Yes, I’m still with you."
"case-4/topic-confirm-identity-01.mp3","David Park. The sleeping tablets are for me."
"case-4/topic-confirm-identity-02.mp3","David Park — yes, they’re mine."
"case-4/topic-confirm-identity-repeat-01.mp3","David Park. The sleeping tablets are for me."
"case-4/topic-confirm-age-01.mp3","My date of birth is 8 November 1971."
"case-4/topic-confirm-age-02.mp3","8 November 1971."
"case-4/topic-confirm-age-repeat-01.mp3","My date of birth is 8 November 1971."
"case-4/topic-allergies-01.mp3","I don’t have any known medicine allergies."
"case-4/topic-allergies-02.mp3","No allergies that I know about."
"case-4/topic-allergies-repeat-01.mp3","I don’t have any known medicine allergies."
"case-4/topic-current-medicines-01.mp3","I sometimes use other things to help me sleep, but nothing prescribed regularly."
"case-4/topic-current-medicines-02.mp3","Nothing regular on prescription. I do try different things for sleep now and then."
"case-4/topic-current-medicines-repeat-01.mp3","I sometimes use other things to help me sleep, but nothing prescribed regularly."
"case-4/topic-sedative-alcohol-history-01.mp3","I have a few alcoholic drinks most nights, especially when I can’t sleep."
"case-4/topic-sedative-alcohol-history-02.mp3","Honestly, I drink most evenings — it helps me wind down when sleep is bad."
"case-4/topic-explain-hold-01.mp3","I’m disappointed, but I understand that you need to check with my doctor first."
"case-4/topic-explain-hold-02.mp3","That’s frustrating, but okay — if it has to be checked, it has to be checked."
"case-4/topic-explain-risk-01.mp3","I didn’t realise the combination could increase the risk that much."
"case-4/topic-explain-risk-02.mp3","I hadn’t thought of the drinks and the tablets adding up like that."
"case-4/topic-next-steps-empathy-01.mp3","Thank you for explaining what will happen next."
"case-4/topic-next-steps-empathy-02.mp3","Okay. As long as someone lets me know today, that’s fine."
"case-4/topic-teach-back-01.mp3","You’ll hold the prescription, speak with my doctor and update me before anything is supplied."
"case-4/topic-teach-back-repeat-01.mp3","You’ll hold the prescription, speak with my doctor and update me before anything is supplied."
"case-4/topic-invite-questions-01.mp3","I do have one more question before I go."
"case-4/topic-invite-questions-repeat-01.mp3","No, I think that covers everything. Thank you."
"case-5/opening-01.mp3","Hi, I’m here to pick up my metformin. Is it ready yet?"
"case-5/concern-01.mp3","Is there a problem with the prescription?"
"case-5/patient-question-01.mp3","Should I keep taking my current tablets while you contact the doctor?"
"case-5/no-further-questions-01.mp3","No, I think that covers everything. Thank you."
"case-5/teach-back-not-ready-01.mp3","I’m not sure I could repeat that back yet. Could you go through the instructions with me first?"
"case-5/unknown-01.mp3","Could you explain what you need me to do next?"
"case-5/unknown-02.mp3","I’m not sure how that relates to this medicine. Could you explain it another way?"
"case-5/unknown-03.mp3","Sorry, I’m not quite following. Could you say that differently?"
"case-5/unknown-04.mp3","I didn’t quite understand that. Could you explain it more simply?"
"case-5/unknown-05.mp3","I’m not sure what you mean. Could you give me a little more detail?"
"case-5/intent-permission-to-ask-01.mp3","Of course. What would you like to ask me?"
"case-5/intent-permission-to-ask-02.mp3","Yes, that’s fine. Go ahead."
"case-5/intent-permission-to-ask-03.mp3","Sure, I’m happy to answer a few questions."
"case-5/intent-previous-use-01.mp3","Yes, I’ve taken metformin before, although this is the 1000 milligram strength."
"case-5/intent-previous-use-02.mp3","Yes. Metformin is one of my regular diabetes medicines."
"case-5/intent-medical-conditions-01.mp3","I have diabetes, high blood pressure, reflux and mildly reduced kidney function."
"case-5/intent-medical-conditions-02.mp3","My diabetes, blood pressure and recent kidney test are the main relevant issues."
"case-5/intent-current-symptoms-01.mp3","I feel well today and don’t have vomiting, severe weakness or breathing trouble."
"case-5/intent-current-symptoms-02.mp3","No new symptoms today. It’s just my regular prescription."
"case-5/intent-side-effect-explanation-01.mp3","Okay, what should I do if that happens?"
"case-5/intent-side-effect-explanation-02.mp3","Thanks for explaining that. I’ll keep an eye out for it."
"case-5/intent-side-effect-explanation-03.mp3","All right. Is there anything that would mean I need urgent help?"
"case-5/intent-medicine-explanation-01.mp3","Okay, that helps me understand what it’s for."
"case-5/intent-medicine-explanation-02.mp3","Thanks, that makes sense now."
"case-5/intent-dosing-instruction-01.mp3","Okay, I understand how to take it."
"case-5/intent-dosing-instruction-02.mp3","Got it, thank you."
"case-5/intent-courtesy-close-01.mp3","Thanks for taking the time to explain everything. Bye."
"case-5/intent-courtesy-close-02.mp3","Thanks, I feel much clearer about the plan now."
"case-5/intent-courtesy-close-03.mp3","Thank you. I’ll follow the label and call the pharmacy if I’m unsure about anything."
"case-5/intent-negative-answer-01.mp3","Okay, I won’t. What should I do instead?"
"case-5/intent-negative-answer-02.mp3","All right. Could you tell me what I should do now?"
"case-5/intent-affirmative-answer-01.mp3","Okay, thanks for confirming that."
"case-5/intent-affirmative-answer-02.mp3","Good, that’s a relief."
"case-5/intent-acknowledgement-01.mp3","Okay. Is there anything else I should know?"
"case-5/intent-acknowledgement-02.mp3","All right, I’m listening."
"case-5/topic-introduction-01.mp3","Hi, yes. That would be really helpful."
"case-5/topic-introduction-02.mp3","Okay, I’m listening."
"case-5/topic-introduction-03.mp3","Great, thanks. Go ahead."
"case-5/topic-introduction-repeat-01.mp3","Yes, I’m still with you."
"case-5/topic-confirm-identity-01.mp3","Carol Simmons. Yes, the metformin is for me."
"case-5/topic-confirm-identity-02.mp3","Carol Simmons — it’s my prescription."
"case-5/topic-confirm-identity-repeat-01.mp3","Carol Simmons. Yes, the metformin is for me."
"case-5/topic-confirm-age-01.mp3","My date of birth is 23 April 1959."
"case-5/topic-confirm-age-02.mp3","23 April 1959."
"case-5/topic-confirm-age-repeat-01.mp3","My date of birth is 23 April 1959."
"case-5/topic-allergies-01.mp3","I had an anaphylactic reaction to a sulfonamide antibiotic. I was told to avoid sulfonamides."
"case-5/topic-allergies-02.mp3","Yes — a sulfonamide antibiotic once gave me an anaphylactic reaction, so I must avoid those."
"case-5/topic-allergies-repeat-01.mp3","I had an anaphylactic reaction to a sulfonamide antibiotic. I was told to avoid sulfonamides."
"case-5/topic-current-medicines-01.mp3","I take cimetidine for reflux as well as my diabetes medicines."
"case-5/topic-current-medicines-02.mp3","Along with my diabetes tablets I take cimetidine for my reflux."
"case-5/topic-current-medicines-repeat-01.mp3","I take cimetidine for reflux as well as my diabetes medicines."
"case-5/topic-renal-history-01.mp3","My doctor said my kidney function was a little reduced at my last blood test."
"case-5/topic-renal-history-02.mp3","My last blood test showed that my kidney function was a little low, so the doctor is keeping an eye on it."
"case-5/topic-explain-hold-01.mp3","Okay. I understand you need to check before supplying it."
"case-5/topic-explain-hold-02.mp3","All right. Better to be safe — I’ll wait while you sort it out."
"case-5/topic-explain-concern-01.mp3","I see. I’m glad you checked the combination and my kidney result."
"case-5/topic-explain-concern-02.mp3","Goodness — no one had mentioned the reflux tablet could matter. Thank you for picking it up."
"case-5/topic-next-steps-01.mp3","I won’t change anything myself. I’ll wait until you’ve checked the plan."
"case-5/topic-next-steps-02.mp3","Okay — I’ll keep everything as it is until I hear back from you or the doctor."
"case-5/topic-teach-back-01.mp3","You’ll hold this supply, contact my doctor and update me without me changing the medicines on my own."
"case-5/topic-teach-back-repeat-01.mp3","You’ll hold this supply, contact my doctor and update me without me changing the medicines on my own."
"case-5/topic-invite-questions-01.mp3","I do have one more question before I go."
"case-5/topic-invite-questions-repeat-01.mp3","No, I think that covers everything. Thank you."
"case-6/opening-01.mp3","Hi, I’m Fiona. I was just wondering if my doxycycline is ready yet?"
"case-6/concern-01.mp3","I use an antacid most days. Can I take them together?"
"case-6/patient-question-01.mp3","Do I need to do anything different when I’m out in the sun?"
"case-6/no-further-questions-01.mp3","No, I think that covers everything. Thank you."
"case-6/teach-back-not-ready-01.mp3","I’m not sure I could repeat that back yet. Could you go through the instructions with me first?"
"case-6/unknown-01.mp3","Sorry, could you put that another way?"
"case-6/unknown-02.mp3","I’m not sure how that relates to this medicine. Could you explain it another way?"
"case-6/unknown-03.mp3","Sorry, I’m not quite following. Could you say that differently?"
"case-6/unknown-04.mp3","I didn’t quite understand that. Could you explain it more simply?"
"case-6/unknown-05.mp3","I’m not sure what you mean. Could you give me a little more detail?"
"case-6/intent-permission-to-ask-01.mp3","Of course. What would you like to ask me?"
"case-6/intent-permission-to-ask-02.mp3","Yes, that’s fine. Go ahead."
"case-6/intent-permission-to-ask-03.mp3","Sure, I’m happy to answer a few questions."
"case-6/intent-previous-use-01.mp3","No, this is my first time taking doxycycline."
"case-6/intent-previous-use-02.mp3","I haven’t used this antibiotic before."
"case-6/intent-medical-conditions-01.mp3","I don’t have any other medical conditions that I know of."
"case-6/intent-medical-conditions-02.mp3","No other diagnosed health conditions."
"case-6/intent-current-symptoms-01.mp3","I have the symptoms my doctor assessed, but no severe pain or breathing trouble."
"case-6/intent-current-symptoms-02.mp3","Nothing new or urgent since I saw the doctor."
"case-6/intent-side-effect-explanation-01.mp3","Okay, what should I do if that happens?"
"case-6/intent-side-effect-explanation-02.mp3","Thanks for explaining that. I’ll keep an eye out for it."
